Store,Date,DayOfWeek,Sales,Customers,Promo,POST_Promo,POST_Customers,POST_Sales
234,2014-02-26,3,7571.0,817,0,0,524,5389
235,2014-02-26,3,3908.0,394,0,0,634,3824
236,2014-02-26,3,5727.0,816,0,0,577,7597
237,2014-02-26,3,3939.0,549,0,0,774,4934
238,2014-02-26,3,7210.0,1126,0,0,1154,6464
239,2014-02-26,3,3523.0,423,0,0,1261,6170
240,2014-02-26,3,4226.0,439,0,0,670,5050
241,2014-02-26,3,4944.0,613,0,0,471,5309
242,2014-02-26,3,2288.0,244,0,0,664,2672
243,2014-02-26,3,4977.0,720,0,0,1025,6420
244,2014-02-26,3,3321.0,419,0,0,602,3951
245,2014-02-26,3,7821.0,994,0,0,289,3776
246,2014-02-26,3,5514.0,813,0,0,895,6019
247,2014-02-26,3,5143.0,468,0,0,493,6001
248,2014-02-26,3,6185.0,891,0,0,277,3880
249,2014-02-26,3,3737.0,441,0,0,1276,5357
250,2014-02-26,3,5867.0,532,0,0,1276,9329
251,2014-02-26,3,14253.0,2061,0,0,573,7831
252,2014-02-26,3,8287.0,762,0,0,660,7553
253,2014-02-26,3,4184.0,589,0,0,442,4283
254,2014-02-26,3,2241.0,220,0,0,819,2162
255,2014-02-26,3,4628.0,534,0,0,478,3919
256,2014-02-26,3,9495.0,1462,0,0,322,4249
257,2014-02-26,3,4043.0,587,0,0,633,4955
258,2014-02-26,3,4269.0,413,0,0,783,6196
259,2014-02-26,3,11151.0,2391,0,0,550,5997
260,2014-02-26,3,5544.0,821,0,0,323,3449
261,2014-02-26,3,8359.0,743,0,0,837,9643
262,2014-02-26,3,16506.0,2807,0,0,733,10451
263,2014-02-26,3,2589.0,270,0,0,510,3176
264,2014-02-26,3,4897.0,784,0,0,584,4388
265,2014-02-26,3,3493.0,424,0,0,561,4485
266,2014-02-26,3,3450.0,504,0,0,305,2163
267,2014-02-26,3,5665.0,767,0,0,699,6622
268,2014-02-26,3,3631.0,505,0,0,2529,5369
269,2014-02-26,3,6525.0,1032,0,0,483,5119
270,2014-02-26,3,7476.0,1032,0,0,430,3975
271,2014-02-26,3,5612.0,694,0,0,413,4944
272,2014-02-26,3,4446.0,539,0,0,868,5077
273,2014-02-26,3,4876.0,599,0,0,514,4538
274,2014-02-26,3,2990.0,815,0,0,341,3324
275,2014-02-26,3,6694.0,729,0,0,3013,7220
276,2014-02-26,3,3404.0,480,0,0,707,3768
277,2014-02-26,3,4870.0,453,0,0,799,4354
278,2014-02-26,3,5600.0,710,0,0,953,6587
279,2014-02-26,3,5203.0,474,0,0,198,2897
280,2014-02-26,3,5702.0,549,0,0,443,4704
281,2014-02-26,3,4402.0,459,0,0,764,5244
282,2014-02-26,3,3525.0,597,0,0,909,4957
283,2014-02-26,3,5676.0,650,0,0,485,4488
284,2014-02-26,3,3583.0,363,0,0,855,4863
285,2014-02-26,3,3876.0,429,0,0,503,4758
286,2014-02-26,3,4097.0,407,0,0,619,4044
287,2014-02-26,3,6452.0,721,0,0,508,5489
288,2014-02-26,3,3993.0,307,0,0,316,3373
289,2014-02-26,3,4843.0,485,0,0,245,3486
290,2014-02-26,3,6233.0,722,0,0,836,5329
291,2014-02-26,3,5480.0,660,0,0,360,4601
292,2014-02-26,3,5108.0,680,0,0,278,2816
293,2014-02-26,3,4203.0,634,0,0,551,5018
294,2014-02-26,3,5142.0,766,0,0,579,6454
295,2014-02-26,3,4367.0,630,0,0,443,3783
296,2014-02-26,3,5094.0,686,0,0,855,5253
297,2014-02-26,3,5433.0,653,0,0,650,5517
298,2014-02-26,3,5591.0,507,0,0,361,5141
299,2014-02-26,3,4152.0,453,0,0,564,4032
300,2014-02-26,3,4546.0,668,0,0,494,4916
301,2014-02-26,3,4945.0,570,0,0,292,4068
302,2014-02-26,3,2267.0,233,0,0,460,2211
303,2014-02-26,3,4525.0,590,0,0,731,4820
304,2014-02-26,3,5193.0,967,0,0,1202,5980
305,2014-02-26,3,3871.0,401,0,0,909,7047
306,2014-02-26,3,4168.0,479,0,0,684,4798
307,2014-02-26,3,1640.0,222,0,0,541,3446
308,2014-02-26,3,6176.0,752,0,0,837,7208
309,2014-02-26,3,5077.0,539,0,0,1145,6800
310,2014-02-26,3,6569.0,632,0,0,626,7638
311,2014-02-26,3,5521.0,796,0,0,399,4503
312,2014-02-26,3,3532.0,395,0,0,637,4426
313,2014-02-26,3,4848.0,544,0,0,498,5454
314,2014-02-26,3,4522.0,550,0,0,414,4203
315,2014-02-26,3,3198.0,415,0,0,675,4233
316,2014-02-26,3,7033.0,748,0,0,558,6658
317,2014-02-26,3,4396.0,511,0,0,548,4694
318,2014-02-26,3,5004.0,528,0,0,317,3678
319,2014-02-26,3,6700.0,775,0,0,640,6472
320,2014-02-26,3,11091.0,1755,0,0,577,5512
321,2014-02-26,3,3568.0,416,0,0,313,1919
322,2014-02-26,3,3504.0,458,0,0,383,2675
323,2014-02-26,3,5280.0,501,0,0,567,6189
324,2014-02-26,3,3955.0,589,0,0,412,3845
325,2014-02-26,3,4653.0,528,0,0,647,5709
326,2014-02-26,3,3466.0,319,0,0,879,4286
327,2014-02-26,3,5613.0,781,0,0,483,4713
328,2014-02-26,3,4248.0,541,0,0,1296,5088
329,2014-02-26,3,6059.0,606,0,0,337,3572
330,2014-02-26,3,4022.0,445,0,0,494,4159
331,2014-02-26,3,5277.0,786,0,0,590,5009
332,2014-02-26,3,3196.0,474,0,0,345,3373
333,2014-02-26,3,7770.0,1124,0,0,388,5081
334,2014-02-26,3,4268.0,512,0,0,430,4907
335,2014-02-26,3,11860.0,2425,0,0,890,8452
336,2014-02-26,3,11067.0,1761,0,0,313,4410
337,2014-02-26,3,3870.0,336,0,0,314,2813
338,2014-02-26,3,4721.0,481,0,0,347,6621
339,2014-02-26,3,4835.0,684,0,0,475,3239
340,2014-02-26,3,4680.0,617,0,0,669,4691
341,2014-02-26,3,4837.0,713,0,0,421,3504
342,2014-02-26,3,8744.0,735,0,0,971,9053
343,2014-02-26,3,5679.0,610,0,0,626,5540
344,2014-02-26,3,5934.0,913,0,0,797,5436
345,2014-02-26,3,4342.0,481,0,0,589,4727
346,2014-02-26,3,6145.0,601,0,0,573,5007
347,2014-02-26,3,3956.0,346,0,0,833,5129
348,2014-02-26,3,7674.0,701,0,0,748,6366
349,2014-02-26,3,6370.0,690,0,0,938,6452
350,2014-02-26,3,4819.0,397,0,0,582,5823
351,2014-02-26,3,4775.0,468,0,0,347,2621
352,2014-02-26,3,4888.0,528,0,0,494,4976
353,2014-02-26,3,5320.0,1514,0,0,203,-582
354,2014-02-26,3,5985.0,636,0,0,694,7681
355,2014-02-26,3,6846.0,930,0,0,1030,7831
356,2014-02-26,3,4642.0,378,0,0,449,5209
357,2014-02-26,3,5159.0,768,0,0,153,3358
358,2014-02-26,3,7492.0,973,0,0,785,7751
359,2014-02-26,3,6819.0,641,0,0,841,4933
360,2014-02-26,3,5243.0,637,0,0,1196,6783
361,2014-02-26,3,4120.0,452,0,0,470,4593
362,2014-02-26,3,7147.0,947,0,0,585,6222
363,2014-02-26,3,5665.0,814,0,0,607,6101
364,2014-02-26,3,3959.0,522,0,0,731,4385
365,2014-02-26,3,4049.0,474,0,0,294,3847
366,2014-02-26,3,4111.0,473,0,0,575,4651
367,2014-02-26,3,2863.0,382,0,0,943,6178
368,2014-02-26,3,6991.0,607,0,0,913,7711
369,2014-02-26,3,4958.0,465,0,0,689,5850
370,2014-02-26,3,5623.0,519,0,0,937,6134
371,2014-02-26,3,5075.0,428,0,0,743,5228
372,2014-02-26,3,6319.0,632,0,0,465,5129
373,2014-02-26,3,3808.0,293,0,0,470,2514
374,2014-02-26,3,5951.0,780,0,0,1251,7910
375,2014-02-26,3,5821.0,532,0,0,574,6414
376,2014-02-26,3,5791.0,768,0,0,579,7074
377,2014-02-26,3,5180.0,788,0,0,1552,8109
378,2014-02-26,3,4853.0,839,0,0,453,5645
379,2014-02-26,3,2744.0,403,0,0,868,3741
380,2014-02-26,3,11653.0,1246,0,0,580,6330
381,2014-02-26,3,7596.0,936,0,0,618,5129
382,2014-02-26,3,5044.0,454,0,0,1606,6088
383,2014-02-26,3,13428.0,1839,0,0,1920,12994
384,2014-02-26,3,6459.0,816,0,0,588,6594
385,2014-02-26,3,5358.0,519,0,0,598,4846
386,2014-02-26,3,6220.0,550,0,0,505,6135
387,2014-02-26,3,8556.0,1226,0,0,994,7337
388,2014-02-26,3,8215.0,947,0,0,561,5046
389,2014-02-26,3,8080.0,1185,0,0,855,7804
390,2014-02-26,3,9755.0,994,0,0,806,8985
391,2014-02-26,3,4840.0,651,0,0,387,3647
392,2014-02-26,3,5734.0,666,0,0,477,4854
393,2014-02-26,3,5729.0,629,0,0,736,4589
394,2014-02-26,3,5706.0,539,0,0,635,5523
395,2014-02-26,3,4026.0,558,0,0,341,3076
396,2014-02-26,3,6676.0,842,0,0,603,7157
397,2014-02-26,3,4401.0,721,0,0,389,4038
398,2014-02-26,3,3950.0,476,0,0,492,5025
399,2014-02-26,3,4049.0,492,0,0,618,3696
400,2014-02-26,3,5991.0,977,0,0,663,7064
401,2014-02-26,3,5059.0,552,0,0,345,4865
402,2014-02-26,3,3181.0,423,0,0,800,6384
403,2014-02-26,3,7186.0,782,0,0,300,3729
404,2014-02-26,3,4529.0,604,0,0,577,4389
405,2014-02-26,3,2725.0,402,0,0,442,3560
406,2014-02-26,3,4330.0,391,0,0,523,4924
407,2014-02-26,3,2619.0,243,0,0,844,3800
408,2014-02-26,3,3167.0,373,0,0,1471,5000
409,2014-02-26,3,4782.0,488,0,0,1054,5864
410,2014-02-26,3,5954.0,818,0,0,515,4296
411,2014-02-26,3,6931.0,584,0,0,599,6819
412,2014-02-26,3,6129.0,528,0,0,656,6406
413,2014-02-26,3,6215.0,876,0,0,464,5063
414,2014-02-26,3,4918.0,423,0,0,768,5380
415,2014-02-26,3,5766.0,570,0,0,1305,6074
416,2014-02-26,3,8515.0,1216,0,0,551,6100
417,2014-02-26,3,6230.0,773,0,0,1214,7247
418,2014-02-26,3,4718.0,565,0,0,654,4986
419,2014-02-26,3,4034.0,726,0,0,476,3516
420,2014-02-26,3,3405.0,335,0,0,595,4029
421,2014-02-26,3,5940.0,684,0,0,370,4390
422,2014-02-26,3,3719.0,433,0,0,630,3489
423,2014-02-26,3,7988.0,1525,0,0,802,7760
424,2014-02-26,3,5183.0,674,0,0,1007,6235
425,2014-02-26,3,3153.0,471,0,0,796,2980
426,2014-02-26,3,4732.0,680,0,0,765,5044
427,2014-02-26,3,5414.0,628,0,0,440,5985
428,2014-02-26,3,5160.0,469,0,0,682,5305
429,2014-02-26,3,4044.0,377,0,0,952,5605
430,2014-02-26,3,6532.0,604,0,0,436,6098
431,2014-02-26,3,7993.0,963,0,0,769,7191
432,2014-02-26,3,9336.0,1459,0,0,833,7695
433,2014-02-26,3,4095.0,577,0,0,587,4478
434,2014-02-26,3,7803.0,619,0,0,715,8189
435,2014-02-26,3,4205.0,528,0,0,349,3324
436,2014-02-26,3,4133.0,516,0,0,1321,6637
437,2014-02-26,3,5140.0,617,0,0,690,6051
438,2014-02-26,3,3400.0,414,0,0,695,4617
439,2014-02-26,3,4874.0,737,0,0,467,5712
440,2014-02-26,3,3692.0,512,0,0,287,3830
441,2014-02-26,3,5498.0,714,0,0,732,5351
442,2014-02-26,3,2881.0,357,0,0,489,3836
443,2014-02-26,3,3587.0,362,0,0,588,4042
444,2014-02-26,3,9280.0,1273,0,0,431,4180
445,2014-02-26,3,8411.0,1294,0,0,421,5360
446,2014-02-26,3,4580.0,609,0,0,800,4457
447,2014-02-26,3,4171.0,548,0,0,356,3315
448,2014-02-26,3,6947.0,654,0,0,420,6030
449,2014-02-26,3,8806.0,1393,0,0,913,9752
450,2014-02-26,3,5800.0,783,0,0,886,5970
451,2014-02-26,3,3878.0,373,0,0,740,4444
452,2014-02-26,3,3280.0,346,0,0,506,4544
453,2014-02-26,3,5333.0,704,0,0,1540,6994
454,2014-02-26,3,4620.0,700,0,0,293,2172
455,2014-02-26,3,5378.0,372,0,0,1090,6087
456,2014-02-26,3,5152.0,843,0,0,1636,5020
457,2014-02-26,3,3883.0,363,0,0,606,4402
458,2014-02-26,3,5149.0,528,0,0,744,4221
459,2014-02-26,3,6702.0,964,0,0,538,5469
460,2014-02-26,3,2385.0,266,0,0,387,3445
461,2014-02-26,3,3360.0,384,0,0,87,1886
462,2014-02-26,3,3538.0,538,0,0,612,4520
463,2014-02-26,3,5184.0,868,0,0,662,5234
464,2014-02-26,3,6994.0,939,0,0,631,7111
465,2014-02-26,3,5284.0,467,0,0,344,3551
466,2014-02-26,3,6213.0,724,0,0,324,4471
467,2014-02-26,3,10119.0,1359,0,0,586,5604
468,2014-02-26,3,5322.0,657,0,0,621,5208
469,2014-02-26,3,7927.0,1138,0,0,301,4933
470,2014-02-26,3,11143.0,1746,0,0,576,4007
471,2014-02-26,3,4427.0,433,0,0,526,6515
472,2014-02-26,3,3966.0,569,0,0,-17,601
473,2014-02-26,3,3166.0,512,0,0,783,4624
474,2014-02-26,3,6030.0,637,0,0,615,5950
475,2014-02-26,3,5806.0,998,0,0,415,4218
476,2014-02-26,3,4489.0,561,0,0,3669,6705
477,2014-02-26,3,5429.0,393,0,0,533,5156
478,2014-02-26,3,5374.0,666,0,0,702,5173
479,2014-02-26,3,8487.0,1124,0,0,320,3242
480,2014-02-26,3,4152.0,619,0,0,443,4260
481,2014-02-26,3,4320.0,405,0,0,826,4633
482,2014-02-26,3,5568.0,685,0,0,526,4640
483,2014-02-26,3,3351.0,520,0,0,759,4035
484,2014-02-26,3,4787.0,562,0,0,677,4648
485,2014-02-26,3,3514.0,365,0,0,695,4911
486,2014-02-26,3,3111.0,426,0,0,433,2728
487,2014-02-26,3,4720.0,497,0,0,705,5560
488,2014-02-26,3,2757.0,331,0,0,410,3078
489,2014-02-26,3,5374.0,550,0,0,994,7012
490,2014-02-26,3,6924.0,965,0,0,374,3641
491,2014-02-26,3,4850.0,397,0,0,372,3608
492,2014-02-26,3,5068.0,891,0,0,206,1896
493,2014-02-26,3,6880.0,738,0,0,585,6079
494,2014-02-26,3,6520.0,969,0,0,634,6493
495,2014-02-26,3,3221.0,299,0,0,603,3763
496,2014-02-26,3,5588.0,670,0,0,499,4145
497,2014-02-26,3,6889.0,958,0,0,343,3046
498,2014-02-26,3,5742.0,799,0,0,630,6250
499,2014-02-26,3,4287.0,649,0,0,928,4072
500,2014-02-26,3,4209.0,346,0,0,674,5553
501,2014-02-26,3,4776.0,637,0,0,528,3927
502,2014-02-26,3,7852.0,1272,0,0,1018,8575
503,2014-02-26,3,4380.0,329,0,0,645,5152
504,2014-02-26,3,4815.0,812,0,0,525,5309
505,2014-02-26,3,3586.0,543,0,0,1029,6829
506,2014-02-26,3,6040.0,791,0,0,664,5533
507,2014-02-26,3,6114.0,539,0,0,65,3263
508,2014-02-26,3,5297.0,633,0,0,488,5266
509,2014-02-26,3,4665.0,458,0,0,623,5705
510,2014-02-26,3,7428.0,914,0,0,1924,7975
511,2014-02-26,3,4512.0,722,0,0,571,3330
